1000 5000
439 613 14
116 801 66
434 688 29
319 925 88
847 672 25
86 64 10
367 439 17
452 284 63
403 522 56
189 156 33
345 948 97
95 841 35
20 250 35
146 324 79
529 718 2
96 413 89
341 137 90
627 356 64
984 136 45
423 805 19
965 801 64
883 700 13
668 349 6
41 286 45
480 605 25
687 377 19
722 935 13
937 501 98
978 606 72
641 783 36
27 219 36
373 541 45
405 36 46
103 619 25
854 745 31
965 46 16
521 709 94
23 942 86
413 373 92
259 906 23
593 521 61
75 735 0
749 308 91
715 227 81
551 152 34
41 271 23
781 710 36
469 499 87
810 943 91
95 205 26
468 508 15
516 99 59
839 54 73
339 890 25
685 52 93
425 394 80
224 774 78
183 716 59
405 810 78
402 526 64
55 179 5
197 456 84
922 428 42
691 261 13
500 109 88
727 117 69
201 752 87
102 86 2
716 58 34
173 831 7
913 961 18
5 605 71
995 192 33
276 351 35
678 838 58
725 393 51
2 318 43
532 954 87
512 982 26
876 41 58
402 313 5
651 573 95
252 2 58
436 799 60
362 510 82
799 342 84
786 742 32
308 499 54
531 512 41
456 386 15
602 667 30
449 97 32
915 588 80
293 547 58
974 515 15
930 94 88
611 878 79
136 256 70
40 876 25
493 507 4
592 379 0
80 498 2
854 437 85
752 726 66
345 646 3
140 444 33
157 607 87
878 852 62
361 671 0
442 796 68
964 665 84
669 432 73
576 721 56
214 532 20
894 872 40
999 760 91
440 341 3
654 237 1
142 244 22
319 910 86
336 621 93
700 249 90
607 673 22
119 180 54
678 725 84
569 323 55
178 966 8
748 737 61
14 532 63
616 361 77
400 136 46
58 260 89
185 248 76
973 593 46
688 289 59
604 38 17
515 1 67
187 219 60
376 571 33
480 741 60
633 560 63
687 549 72
60 276 29
853 765 42
661 910 22
885 671 89
734 279 29
508 168 73
569 383 11
412 67 60
19 308 8
170 957 28
195 223 66
10 425 89
669 156 4
408 897 8
89 562 11
851 129 18
647 707 9
829 978 47
180 71 57
841 891 8
484 32 11
66 997 46
500 610 45
580 88 57
719 758 56
116 805 87
199 892 65
421 736 46
624 964 51
406 860 3
451 881 33
174 575 96
134 615 34
408 126 40
299 210 34
522 694 40
197 595 28
927 369 2
477 723 2
604 789 86
777 773 14
810 831 53
411 788 46
822 196 85
249 547 43
873 552 69
650 778 41
577 543 24
551 513 94
65 184 44
24 518 9
327 269 61
893 808 54
994 59 17
923 716 82
272 985 43
253 140 17
267 568 63
219 385 58
566 606 62
253 899 9
88 476 78
312 148 19
146 903 13
291 904 38
239 434 28
70 436 86
37 930 9
523 838 89
340 344 90
497 326 16
789 631 58
34 705 16
79 136 44
569 325 16
351 690 2
819 578 37
431 605 65
555 448 94
279 567 7
829 237 47
821 509 1
750 451 46
43 242 51
477 798 76
2 264 87
306 621 54
787 219 42
472 116 34
367 779 4
621 330 87
147 71 5
982 314 22
619 127 70
766 753 37
661 942 84
164 650 81
545 324 73
906 205 36
161 608 58
569 611 39
567 748 11
944 336 31
329 913 41
646 824 30
163 18 47
591 905 21
657 445 47
690 286 55
28 146 92
667 784 87
324 39 88
774 387 69
454 60 48
70 894 21
907 639 9
327 864 91
153 598 97
985 154 67
21 830 43
905 22 42
248 702 64
22 938 56
581 701 63
270 664 40
415 817 85
970 450 34
240 614 15
572 118 75
272 980 93
270 606 68
146 793 11
568 809 97
749 721 8
955 572 74
70 594 42
18 458 64
447 230 11
811 949 68
824 553 64
816 742 58
821 800 29
609 732 30
109 907 52
164 780 45
655 609 85
440 54 54
982 442 52
740 240 18
507 615 54
685 15 57
469 424 94
785 953 34
601 18 82
465 538 72
930 818 55
446 587 15
461 630 90
985 167 2
602 136 0
940 433 25
39 607 70
237 193 47
639 97 25
269 552 36
377 401 43
377 142 1
886 278 61
207 297 60
454 305 30
582 15 60
51 761 2
452 457 89
644 510 70
86 571 56
300 698 63
904 779 3
701 365 95
891 902 96
177 564 54
687 264 37
477 916 19
509 860 38
318 90 70
661 872 83
157 570 63
397 172 16
483 374 64
300 810 79
422 786 61
314 261 79
505 2 17
376 63 63
475 386 2
623 289 30
720 550 29
950 729 57
88 93 47
675 751 24
985 481 91
451 628 72
100 985 64
441 747 36
499 119 92
803 234 53
615 764 56
803 652 16
935 907 28
284 107 86
444 806 27
917 897 55
685 81 85
413 968 81
38 722 38
228 477 39
387 904 57
529 800 79
469 386 95
363 79 1
105 251 98
248 209 84
860 303 22
699 657 78
99 870 17
565 260 22
178 283 61
723 348 16
562 685 9
954 38 66
324 639 95
361 218 67
658 380 9
765 61 82
66 566 21
128 820 17
618 744 16
911 558 27
959 570 2
477 447 43
714 551 27
648 730 42
937 472 85
102 741 77
498 928 70
197 930 40
892 731 93
558 350 21
286 494 28
47 625 88
244 334 23
139 502 58
792 753 75
193 490 21
533 14 67
905 735 30
694 387 28
45 658 5
54 164 76
132 738 97
319 32 0
141 892 39
715 768 79
277 200 35
394 880 74
103 46 38
486 566 9
572 745 94
270 674 76
157 31 48
398 273 51
485 700 14
937 831 40
456 645 50
941 391 99
316 805 45
681 802 90
549 178 60
461 905 19
72 964 67
513 300 84
717 143 83
114 976 48
918 238 99
878 931 37
80 30 23
107 764 64
321 24 52
83 528 12
385 966 29
626 781 94
405 192 81
812 501 71
473 725 18
877 604 38
532 252 82
64 47 55
726 350 66
587 997 9
919 751 75
449 545 71
23 33 3
401 516 35
415 273 47
930 474 89
427 110 29
315 770 90
494 720 69
50 259 80
3 840 19
797 838 93
192 642 86
754 533 52
420 219 97
425 244 93
872 268 84
623 53 9
903 641 41
359 559 82
988 37 65
695 134 83
646 383 12
160 441 3
388 754 81
278 609 91
847 40 84
465 36 86
748 933 69
284 293 69
745 769 52
641 485 24
765 542 53
827 282 34
763 674 1
220 439 90
267 922 78
537 919 63
981 277 0
404 317 43
415 557 37
902 861 93
884 160 30
625 716 4
648 714 38
523 55 52
125 604 11
854 6 64
264 877 53
768 508 69
164 542 45
850 113 59
802 950 32
11 884 35
703 330 38
75 5 9
669 760 19
768 26 35
184 264 92
170 903 94
24 451 83
226 454 46
315 421 89
217 534 77
40 890 21
602 612 82
580 317 4
345 743 10
331 360 58
971 249 25
793 103 13
100 415 1
685 485 18
656 156 9
1 667 57
814 783 92
426 694 6
176 307 92
128 663 25
954 326 3
619 352 41
866 368 64
826 705 15
255 164 15
767 407 50
413 392 29
149 416 96
637 181 53
392 332 11
385 93 21
117 534 5
540 904 74
163 956 22
242 687 42
902 67 65
78 300 67
221 778 73
480 619 65
986 929 50
787 826 46
717 589 0
592 419 41
798 484 71
512 912 80
31 250 75
108 996 98
844 144 1
682 752 54
594 178 24
511 287 9
927 944 55
812 181 89
281 604 19
926 63 6
352 783 32
228 271 20
284 819 79
954 923 70
95 908 70
515 656 2
533 882 84
650 405 26
124 237 33
573 857 45
64 16 99
977 158 5
447 241 93
225 213 32
932 573 48
164 185 80
900 555 29
560 819 93
77 706 3
628 705 47
487 5 45
120 553 38
338 217 52
270 121 67
296 476 57
908 341 22
268 676 12
886 810 13
144 268 39
33 595 80
458 772 20
160 917 16
622 420 57
704 699 16
967 54 99
113 592 1
485 520 84
304 69 28
424 347 56
825 64 41
414 655 12
