1000 10000
483 670 29
414 658 51
13 840 88
895 52 65
407 311 74
357 304 40
808 449 5
407 727 99
580 973 0
84 515 20
848 706 15
950 517 69
497 530 42
238 613 40
736 72 3
378 673 9
824 376 87
280 806 41
745 473 4
228 871 86
56 259 59
696 219 10
396 679 79
833 367 38
216 604 92
563 67 95
405 756 95
457 577 76
363 96 50
867 749 11
722 482 25
742 305 58
343 325 10
459 441 77
910 835 24
668 972 10
380 615 8
714 853 14
7 229 75
463 324 33
928 921 10
950 962 58
685 516 21
977 98 3
793 161 36
218 548 31
297 850 92
733 552 67
261 96 38
778 351 6
79 555 90
326 951 54
974 714 75
522 482 12
478 305 51
517 182 7
819 187 36
468 464 6
815 21 42
920 646 66
198 938 67
650 588 23
660 832 52
352 902 66
48 907 83
407 642 58
382 533 98
913 381 7
717 447 82
828 362 97
515 428 15
118 245 8
313 814 31
697 253 70
885 937 71
371 794 38
163 600 19
874 30 42
569 733 43
586 426 5
526 389 59
287 572 60
152 41 40
931 178 10
181 482 36
604 119 44
894 827 24
632 733 84
170 734 54
798 636 70
412 993 91
909 416 18
560 577 3
263 579 75
534 988 5
580 526 8
969 593 83
242 858 70
316 277 63
388 219 43
186 181 70
87 868 15
655 281 46
828 530 98
948 438 65
653 11 96
813 270 76
153 917 44
669 753 67
91 762 52
381 363 66
123 465 56
284 709 41
448 839 10
826 567 71
972 79 78
639 438 26
474 538 70
552 504 57
226 385 29
667 494 60
454 871 80
464 71 92
923 839 54
809 390 96
671 835 84
721 650 60
590 976 14
650 792 51
112 660 4
760 580 22
209 204 10
877 42 66
848 709 97
517 161 52
30 417 96
524 303 27
482 373 64
411 638 33
375 367 79
641 644 47
835 773 30
777 615 84
0 508 5
612 279 50
570 483 3
195 911 64
925 371 59
801 282 53
243 530 56
817 911 73
615 110 40
570 66 3
926 459 80
3 12 24
275 878 10
484 873 98
587 463 17
70 756 55
504 993 64
703 234 8
550 891 96
565 932 28
670 677 19
616 222 31
671 657 96
640 410 29
251 286 70
618 180 43
273 655 70
524 458 11
684 53 41
177 947 8
